set,instance,family,scale,seed,solver,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,runtime_ms,structural_result,fallback_used,peak_rss_kb
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,2,lkk_cadical,8.36872,1.61667,3.28345,18.4008,0,0,1.99855,0,1.99855,0,67.037035,UNKNOWN,True,8532
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,2,lkk_kissat,12.3819,2.20568,4.12636,25.4386,0,0,35.3358,8.46617,0,8.46617,117.784598,UNKNOWN,True,7332
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,2,lkk_none,9.29501,1.76817,3.07934,16.1301,0,0,0,0,0,0,67.417448,UNKNOWN,True,7024
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,3,lkk_kissat,7.96361,1.63581,3.7108,23.0343,0,0,30.5218,6.42507,0,6.42507,116.933983,UNKNOWN,True,7320
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,3,lkk_none,11.5536,2.09348,3.83891,25.1557,0,0,0,0,0,0,68.855883,UNKNOWN,True,6976
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,3,lkk_cadical,7.52046,1.69763,3.00318,16.5426,0,0,1.99005,0,1.99005,0,66.523325,UNKNOWN,True,8652
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,1,lkk_cadical,2.28637,0.141491,0.259364,0.581183,0,0,26.902,0,26.902,0,66.596397,UNKNOWN,True,5968
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,1,lkk_kissat,2.75215,0.169964,0.292021,0.666718,0,0,84.7113,2.18888,60,26.9002,118.042469,UNKNOWN,True,4272
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,1,lkk_none,2.81319,0.19235,0.287938,0.663784,0,0,0,0,0,0,19.241652,UNKNOWN,True,4320
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,2,lkk_kissat,2.40245,0.14088,0.253699,0.666679,0,0,64.485,1.66128,50,16.1463,118.299489,UNKNOWN,True,4324
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,2,lkk_none,2.09243,0.149799,0.242757,0.603044,0,0,0,0,0,0,18.62741,UNKNOWN,True,4176
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,2,lkk_cadical,1.93325,0.142809,0.252651,0.597173,0,0,31.6617,0,31.6617,0,67.150771,UNKNOWN,True,5872
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,3,lkk_none,2.84898,0.162114,0.252974,0.646528,0,0,0,0,0,0,19.540788,UNKNOWN,True,4188
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,3,lkk_cadical,2.34189,0.143185,0.244521,0.59776,0,0,31.6865,0,31.6865,0,67.765774,UNKNOWN,True,5984
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,3,lkk_kissat,2.95771,0.154613,0.30222,0.667951,0,0,82.8762,1.81958,60,24.6958,117.898543,UNKNOWN,True,4168
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,1,lkk_kissat,2.7955,0.354548,0.558107,3.50108,0,0,106.253,1.84705,90,18.1005,166.990027,UNKNOWN,True,4520
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,1,lkk_none,2.83653,0.366121,0.56905,3.66458,0,0,0,0,0,0,18.268534,UNKNOWN,True,4464
