set,instance,family,scale,variant,seed,solver,runtime_ms,status,timed_out,par2_ms,structural_result,fallback_used,fallback_engine,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,conflicts,decisions,propagations,peak_rss_kb,raw_log
expanded,011_capacity2_violation_scale4_phase4b.cnf,capacity2_violation,4,phase4b,1,kissat,34.965043,UNSATISFIABLE,False,34.965043,,,kissat,,,,,,,,,,,1021,1779,22896,1672,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_011__011_capacity2_violation_scale4_phase4b__kissat__seed1.log
expanded,011_capacity2_violation_scale4_phase4b.cnf,capacity2_violation,4,phase4b,1,lkk_cadical,67.006791,UNSATISFIABLE,False,67.006791,UNSAT,False,cadical,0,0,0,0,1.35556,0.058441,0.124737,41.6743,0.0142,3.6337,-1,-1,-1,4264,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_011__011_capacity2_violation_scale4_phase4b__lkk_cadical__seed1.log
expanded,011_capacity2_violation_scale4_phase4b.cnf,capacity2_violation,4,phase4b,1,lkk_kissat,68.162003,UNSATISFIABLE,False,68.162003,UNSAT,False,kissat,0,0,0,0,2.15685,0.076152,0.166107,40.1981,0.016898,3.97267,-1,-1,-1,4268,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_011__011_capacity2_violation_scale4_phase4b__lkk_kissat__seed1.log
expanded,011_capacity2_violation_scale4_phase4b.cnf,capacity2_violation,4,phase4b,1,lkk_none,67.524904,UNSATISFIABLE,False,67.524904,UNSAT,False,none,0,0,0,0,1.7063,0.077988,0.138762,34.4189,0.029813,3.96726,-1,-1,-1,4276,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_011__011_capacity2_violation_scale4_phase4b__lkk_none__seed1.log
expanded,011_capacity2_violation_scale4_phase4b.cnf,capacity2_violation,4,phase4b,1,cadical,118.025127,UNSATISFIABLE,False,118.025127,,,cadical,,,,,,,,,,,0,3662,36707,2536,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_011__011_capacity2_violation_scale4_phase4b__cadical__seed1.log
expanded,012_capacity2_violation_scale5_phase4b.cnf,capacity2_violation,5,phase4b,1,lkk_cadical,318.691261,UNSATISFIABLE,False,318.691261,UNSAT,False,cadical,0,0,0,0,2.5023,0.177315,0.36994,251.256,0.016518,5.32188,-1,-1,-1,4472,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_012__012_capacity2_violation_scale5_phase4b__lkk_cadical__seed1.log
expanded,012_capacity2_violation_scale5_phase4b.cnf,capacity2_violation,5,phase4b,1,lkk_kissat,319.602974,UNSATISFIABLE,False,319.602974,UNSAT,False,kissat,0,0,0,0,2.32456,0.176988,0.351994,257.263,0.014257,4.78407,-1,-1,-1,4464,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_012__012_capacity2_violation_scale5_phase4b__lkk_kissat__seed1.log
expanded,012_capacity2_violation_scale5_phase4b.cnf,capacity2_violation,5,phase4b,1,lkk_none,267.086446,UNSATISFIABLE,False,267.086446,UNSAT,False,none,0,0,0,0,1.7144,0.127272,0.28511,238.154,0.014193,5.33032,-1,-1,-1,4376,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_012__012_capacity2_violation_scale5_phase4b__lkk_none__seed1.log
expanded,012_capacity2_violation_scale5_phase4b.cnf,capacity2_violation,5,phase4b,1,cadical,668.928984,UNSATISFIABLE,False,668.928984,,,cadical,,,,,,,,,,,68,55232,446092,4784,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_012__012_capacity2_violation_scale5_phase4b__cadical__seed1.log
expanded,012_capacity2_violation_scale5_phase4b.cnf,capacity2_violation,5,phase4b,1,kissat,268.338354,UNSATISFIABLE,False,268.338354,,,kissat,,,,,,,,,,,13246,20778,374255,2816,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_012__012_capacity2_violation_scale5_phase4b__kissat__seed1.log
expanded,013_capacity2_violation_scale6_phase4b.cnf,capacity2_violation,6,phase4b,1,lkk_kissat,1172.304456,UNSATISFIABLE,False,1172.304456,UNSAT,False,kissat,0,0,0,0,2.66429,0.252826,0.559037,1141.94,0.025175,8.61298,-1,-1,-1,4676,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_013__013_capacity2_violation_scale6_phase4b__lkk_kissat__seed1.log
expanded,013_capacity2_violation_scale6_phase4b.cnf,capacity2_violation,6,phase4b,1,lkk_none,1222.981307,UNSATISFIABLE,False,1222.981307,UNSAT,False,none,0,0,0,0,3.45295,0.287936,0.70251,1197.17,0.024194,8.099,-1,-1,-1,4864,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_013__013_capacity2_violation_scale6_phase4b__lkk_none__seed1.log
