instance,family,scale,variant,seed,solver,runtime_ms,status,par2_ms,timed_out,structural_result,fallback_used,registry_ms,family_checks,recovery_ms,flow_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,2,lkk_4a_sealed,570.496856,UNSATISFIABLE,570.496856,False,UNKNOWN,True,19.0419,200001,2.37074,0,528.221,555.855,7204
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,3,cadical,670.944224,UNSATISFIABLE,670.944224,False,,,,,,,,670.944224,3700
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,3,kissat,170.212447,UNSATISFIABLE,170.212447,False,,,,,,,,170.212447,2548
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,3,lkk_4a_sealed,571.315066,UNSATISFIABLE,571.315066,False,UNKNOWN,True,17.5397,200001,2.10056,0,528.167,554.417,7260
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,3,lkk_4c_indexed,36.401628,UNSATISFIABLE,36.401628,False,UNSAT,False,10.2319,22599,2.22239,0.023804,0,19.5902,4904
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,1,lkk_4c_indexed,118.673945,SATISFIABLE,118.673945,False,UNKNOWN,True,50.1541,300001,3.34847,0,1.79482,72.2317,10840
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,1,cadical,118.297922,SATISFIABLE,118.297922,False,,,,,,,,118.297922,3112
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,1,kissat,36.133914,SATISFIABLE,36.133914,False,,,,,,,,36.133914,1736
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,1,lkk_4a_sealed,68.354619,SATISFIABLE,68.354619,False,UNKNOWN,True,22.8376,200246,4.7043,0,2.50585,46.4666,8528
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,2,cadical,117.87531,SATISFIABLE,117.87531,False,,,,,,,,117.87531,3112
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,2,kissat,35.911739,SATISFIABLE,35.911739,False,,,,,,,,35.911739,1676
