instance,stratum,domain,mode,measured_at_timeout_s,runtime_ms,status,timed_out
aim-200-3_4-yes1-1.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,66.939614,SATISFIABLE,False
aim-200-3_4-yes1-1.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,33.85339,SATISFIABLE,False
g2-ak128boothbg2msisc.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,4126.581653,SATISFIABLE,False
g2-ak128boothbg2msisc.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,417.364479,SATISFIABLE,False
uf250-016.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.623421,UNKNOWN,False
uf250-016.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.606232,UNKNOWN,False
af-synthesis_stb_50_40_9_sat.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60055.309807,TIMEOUT,True
af-synthesis_stb_50_40_9_sat.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60040.633021,TIMEOUT,True
uf200-050.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.520491,UNKNOWN,False
uf200-050.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.345349,UNKNOWN,False
asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60011.883871,TIMEOUT,True
asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60017.94719,TIMEOUT,True
ssa7552-159.cnf,resource_allocation_like,eda_circuit_fault,A_cadical,60.0,66.169583,SATISFIABLE,False
ssa7552-159.cnf,resource_allocation_like,eda_circuit_fault,B_kissat,60.0,17.474641,SATISFIABLE,False
atco_enc1_opt1_10_15.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,52681.722246,SATISFIABLE,False
atco_enc1_opt1_10_15.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60007.821432,TIMEOUT,True
uf200-077.cnf,resource_allocation_like,random_control,A_cadical,60.0,18.152097,UNKNOWN,False
uf200-077.cnf,resource_allocation_like,random_control,B_kissat,60.0,18.253126,UNKNOWN,False
hcp_CP18_18.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60018.384028,TIMEOUT,True
hcp_CP18_18.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60013.950903,TIMEOUT,True
uf200-035.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.920195,UNKNOWN,False
uf200-035.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.916793,UNKNOWN,False
EDP3-11000.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60018.798938,TIMEOUT,True
EDP3-11000.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60023.457587,TIMEOUT,True
flat200-74.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,166.389153,SATISFIABLE,False
flat200-74.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,116.838418,SATISFIABLE,False
j3037_1_gmto_b.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,47799.348709,SATISFIABLE,False
j3037_1_gmto_b.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,39518.043562,SATISFIABLE,False
flat75-12.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,67.149547,SATISFIABLE,False
flat75-12.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,33.959843,SATISFIABLE,False
af-synthesis_stb_50_140_0_unsat.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60010.866146,TIMEOUT,True
af-synthesis_stb_50_140_0_unsat.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60055.524366,TIMEOUT,True
uuf200-02.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.922531,UNKNOWN,False
uuf200-02.cnf,resource_allocation_like,random_control,B_kissat,60.0,18.121058,UNKNOWN,False
dubois100.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60.0,66.673657,SATISFIABLE,False
dubois100.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60.0,17.572343,SATISFIABLE,False
huge.cnf,resource_allocation_like,planning_scheduling,A_cadical,60.0,66.081529,SATISFIABLE,False
