instance,stratum,mode,runtime_ms,status
uuf200-02.cnf,resource_allocation_like,C_lkk_cadical,569.222619,UNSATISFIABLE
uuf200-02.cnf,resource_allocation_like,D_lkk_kissat,518.417924,UNSATISFIABLE
dubois100.cnf,no_useful_detected_structure,C_lkk_cadical,34.936164,ERROR
dubois100.cnf,no_useful_detected_structure,D_lkk_kissat,19.137336,ERROR
huge.cnf,resource_allocation_like,C_lkk_cadical,66.715085,SATISFIABLE
huge.cnf,resource_allocation_like,D_lkk_kissat,116.619683,SATISFIABLE
par32-4.cnf,no_useful_detected_structure,C_lkk_cadical,60036.630316,TIMEOUT
par32-4.cnf,no_useful_detected_structure,D_lkk_kissat,60023.784773,TIMEOUT
flat200-70.cnf,resource_allocation_like,C_lkk_cadical,33.842436,SATISFIABLE
flat200-70.cnf,resource_allocation_like,D_lkk_kissat,65.998738,SATISFIABLE
asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf,no_useful_detected_structure,C_lkk_cadical,60022.935213,TIMEOUT
asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf,no_useful_detected_structure,D_lkk_kissat,60022.303922,TIMEOUT
uf200-071.cnf,resource_allocation_like,C_lkk_cadical,167.27915,SATISFIABLE
uf200-071.cnf,resource_allocation_like,D_lkk_kissat,116.587451,SATISFIABLE
circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,21705.231915,SATISFIABLE
circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,25323.334201,SATISFIABLE
aim-50-1_6-no-3.cnf,resource_allocation_like,C_lkk_cadical,17.587463,UNSATISFIABLE
aim-50-1_6-no-3.cnf,resource_allocation_like,D_lkk_kissat,33.700918,UNSATISFIABLE
ER_500_30_3.apx_2_DC-AD.cnf,no_useful_detected_structure,C_lkk_cadical,60008.353784,TIMEOUT
ER_500_30_3.apx_2_DC-AD.cnf,no_useful_detected_structure,D_lkk_kissat,60007.095215,TIMEOUT
flat100-6.cnf,resource_allocation_like,C_lkk_cadical,33.934595,SATISFIABLE
flat100-6.cnf,resource_allocation_like,D_lkk_kissat,66.114417,SATISFIABLE
circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60031.354883,TIMEOUT
circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,60013.257555,TIMEOUT
flat100-71.cnf,resource_allocation_like,C_lkk_cadical,34.277527,SATISFIABLE
flat100-71.cnf,resource_allocation_like,D_lkk_kissat,66.23048,SATISFIABLE
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,no_useful_detected_structure,C_lkk_cadical,60033.179865,TIMEOUT
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,no_useful_detected_structure,D_lkk_kissat,60023.097115,TIMEOUT
flat200-42.cnf,resource_allocation_like,C_lkk_cadical,34.523162,SATISFIABLE
flat200-42.cnf,resource_allocation_like,D_lkk_kissat,66.122633,SATISFIABLE
ER_400_20_4.apx_1_DC-AD.cnf,no_useful_detected_structure,C_lkk_cadical,60055.237568,TIMEOUT
ER_400_20_4.apx_1_DC-AD.cnf,no_useful_detected_structure,D_lkk_kissat,60014.162357,TIMEOUT
uf200-091.cnf,resource_allocation_like,C_lkk_cadical,267.203972,SATISFIABLE
uf200-091.cnf,resource_allocation_like,D_lkk_kissat,167.167459,SATISFIABLE
pb_300_05_lb_17.cnf,no_useful_detected_structure,C_lkk_cadical,29549.247273,SATISFIABLE
pb_300_05_lb_17.cnf,no_useful_detected_structure,D_lkk_kissat,13726.879367,SATISFIABLE
uf250-09.cnf,resource_allocation_like,C_lkk_cadical,317.974712,SATISFIABLE
uf250-09.cnf,resource_allocation_like,D_lkk_kissat,1572.371591,SATISFIABLE
af-synthesis_stb_50_200_0_sat.cnf,no_useful_detected_structure,C_lkk_cadical,60018.040243,TIMEOUT
af-synthesis_stb_50_200_0_sat.cnf,no_useful_detected_structure,D_lkk_kissat,60064.344738,TIMEOUT
uuf250-024.cnf,resource_allocation_like,C_lkk_cadical,2928.517532,UNSATISFIABLE
uuf250-024.cnf,resource_allocation_like,D_lkk_kissat,3028.058751,UNSATISFIABLE
aim-100-1_6-no-4.cnf,resource_allocation_like,C_lkk_cadical,17.722105,UNSATISFIABLE
aim-100-1_6-no-4.cnf,resource_allocation_like,D_lkk_kissat,33.497382,UNSATISFIABLE
flat200-36.cnf,resource_allocation_like,C_lkk_cadical,116.959908,SATISFIABLE
flat200-36.cnf,resource_allocation_like,D_lkk_kissat,116.757836,SATISFIABLE
jnh301.cnf,resource_allocation_like,C_lkk_cadical,33.956358,SATISFIABLE
jnh301.cnf,resource_allocation_like,D_lkk_kissat,66.352207,SATISFIABLE
uuf250-025.cnf,resource_allocation_like,C_lkk_cadical,3831.266121,UNSATISFIABLE
uuf250-025.cnf,resource_allocation_like,D_lkk_kissat,3629.534823,UNSATISFIABLE
lec_mult_CvK_11x11.sanitized.cnf,resource_allocation_like,C_lkk_cadical,60033.889809,TIMEOUT
lec_mult_CvK_11x11.sanitized.cnf,resource_allocation_like,D_lkk_kissat,60038.861338,TIMEOUT
flat75-73.cnf,resource_allocation_like,C_lkk_cadical,17.975334,SATISFIABLE
flat75-73.cnf,resource_allocation_like,D_lkk_kissat,66.875085,SATISFIABLE
uf250-033.cnf,resource_allocation_like,C_lkk_cadical,417.470598,SATISFIABLE
uf250-033.cnf,resource_allocation_like,D_lkk_kissat,116.517357,SATISFIABLE
uuf200-089.cnf,resource_allocation_like,C_lkk_cadical,317.8792,UNSATISFIABLE
uuf200-089.cnf,resource_allocation_like,D_lkk_kissat,317.007337,UNSATISFIABLE
uf200-020.cnf,resource_allocation_like,C_lkk_cadical,216.680827,SATISFIABLE
uf200-020.cnf,resource_allocation_like,D_lkk_kissat,167.283552,SATISFIABLE
flat200-24.cnf,resource_allocation_like,C_lkk_cadical,34.543316,SATISFIABLE
flat200-24.cnf,resource_allocation_like,D_lkk_kissat,65.669521,SATISFIABLE
flat75-47.cnf,resource_allocation_like,C_lkk_cadical,34.098774,SATISFIABLE
flat75-47.cnf,resource_allocation_like,D_lkk_kissat,66.612736,SATISFIABLE
lec_mult_DvK_12x12.sanitized.cnf,resource_allocation_like,C_lkk_cadical,60045.183464,TIMEOUT
lec_mult_DvK_12x12.sanitized.cnf,resource_allocation_like,D_lkk_kissat,60043.03223,TIMEOUT
uuf250-098.cnf,resource_allocation_like,C_lkk_cadical,1120.720178,UNSATISFIABLE
uuf250-098.cnf,resource_allocation_like,D_lkk_kissat,1120.577859,UNSATISFIABLE
mrpp_4x4#12_12.cnf,resource_allocation_like,C_lkk_cadical,5839.397024,UNSATISFIABLE
mrpp_4x4#12_12.cnf,resource_allocation_like,D_lkk_kissat,7445.365352,UNSATISFIABLE
uuf250-063.cnf,resource_allocation_like,C_lkk_cadical,7295.269375,UNSATISFIABLE
uuf250-063.cnf,resource_allocation_like,D_lkk_kissat,5637.604593,UNSATISFIABLE
uf200-051.cnf,resource_allocation_like,C_lkk_cadical,267.237764,SATISFIABLE
uf200-051.cnf,resource_allocation_like,D_lkk_kissat,116.759866,SATISFIABLE
flat200-40.cnf,resource_allocation_like,C_lkk_cadical,67.339499,SATISFIABLE
flat200-40.cnf,resource_allocation_like,D_lkk_kissat,117.211698,SATISFIABLE
flat200-6.cnf,resource_allocation_like,C_lkk_cadical,66.562537,SATISFIABLE
flat200-6.cnf,resource_allocation_like,D_lkk_kissat,116.638152,SATISFIABLE
flat75-41.cnf,resource_allocation_like,C_lkk_cadical,34.700379,SATISFIABLE
flat75-41.cnf,resource_allocation_like,D_lkk_kissat,69.624534,SATISFIABLE
flat200-95.cnf,resource_allocation_like,C_lkk_cadical,66.649247,SATISFIABLE
flat200-95.cnf,resource_allocation_like,D_lkk_kissat,116.535617,SATISFIABLE
bw_large.b.cnf,resource_allocation_like,C_lkk_cadical,66.298296,SATISFIABLE
bw_large.b.cnf,resource_allocation_like,D_lkk_kissat,166.885755,SATISFIABLE
uf200-086.cnf,resource_allocation_like,C_lkk_cadical,317.8024,SATISFIABLE
uf200-086.cnf,resource_allocation_like,D_lkk_kissat,116.951471,SATISFIABLE
jnh6.cnf,resource_allocation_like,C_lkk_cadical,33.962398,UNSATISFIABLE
jnh6.cnf,resource_allocation_like,D_lkk_kissat,66.59175,UNSATISFIABLE
