instance,stratum,domain,selector_choice,selector_reason,lkk_cadical_par2_ms,lkk_kissat_par2_ms,selector_par2_ms,oracle_par2_ms,regret_ms,picked_faster,harmful,tie,selector_ms
pcmax-scheduling-m35-32274-371389-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m37-28831-324346-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m40-26287-324155-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pcmax-scheduling-m43-38782-385402-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
pret150_25.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=1,recovery=COMPLETE,registry=UNKNOWN)",17.814074,66.361338,34.345669,17.814074,16.531595,False,True,False,
pret150_40.cnf,cardinality_exact_r_heavy,crafted_parity,kissat,"open_cardinality_structure(boxes=16,registry=UNKNOWN)",34.774076,65.790641,65.74693,34.774076,30.972854000000005,False,True,False,
pret150_60.cnf,cardinality_exact_r_heavy,crafted_parity,kissat,"open_cardinality_structure(boxes=32,registry=UNKNOWN)",33.961457,66.210518,66.433568,33.961457,32.47211099999999,False,True,False,
pret60_25.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=1,recovery=COMPLETE,registry=UNKNOWN)",18.354544,66.453281,17.618879,18.354544,-0.7356650000000009,False,False,False,
pret60_40.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=7,recovery=COMPLETE,registry=UNKNOWN)",18.454191,66.95789,34.808616,18.454191,16.354425,False,True,False,
pret60_60.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=11,recovery=COMPLETE,registry=UNKNOWN)",18.621377,66.898802,18.005672,18.621377,-0.6157049999999984,False,False,False,
pret60_75.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=13,recovery=COMPLETE,registry=UNKNOWN)",17.581378,65.964572,17.829611,17.581378,0.24823299999999904,False,True,False,
ssa0432-003.cnf,resource_allocation_like,eda_circuit_fault,kissat,"open_cardinality_structure(boxes=86,registry=UNKNOWN)",18.936135,117.741107,67.113254,18.936135,48.177119,False,True,False,
ssa2670-130.cnf,resource_allocation_like,eda_circuit_fault,kissat,"open_cardinality_structure(boxes=280,registry=UNKNOWN)",34.119887,66.467987,118.092398,34.119887,83.972511,False,True,False,
ssa2670-141.cnf,resource_allocation_like,eda_circuit_fault,kissat,"open_cardinality_structure(boxes=207,registry=UNKNOWN)",35.04254,117.207652,66.494463,35.04254,31.451922999999994,False,True,False,
ssa6288-047.cnf,resource_allocation_like,eda_circuit_fault,kissat,"open_cardinality_structure(boxes=2098,registry=UNKNOWN)",117.13827,116.358315,167.867265,116.358315,51.50895,False,True,False,
ssa7552-038.cnf,resource_allocation_like,eda_circuit_fault,kissat,"open_cardinality_structure(boxes=247,registry=UNKNOWN)",34.230745,67.162705,66.678694,34.230745,32.447948999999994,False,True,False,
ssa7552-158.cnf,resource_allocation_like,eda_circuit_fault,kissat,"open_cardinality_structure(boxes=223,registry=UNKNOWN)",35.457547,66.45055,66.657066,35.457547,31.199519000000002,False,True,False,
